q_val,accepted,attempts,rejected,insufficient,hit_count_mean,hit_count_std,rmse_mean,rmse_std,rmse_index_mean,rmse_index_std,rmse_nn_mean,rmse_nn_std,chamfer_mean,chamfer_std,chamfer_p2q_mean,chamfer_p2q_std,chamfer_q2p_mean,chamfer_q2p_std,pos_mae_mean,pos_mae_std,angle_unsigned_mean,angle_unsigned_std
-3.0,10.0,15.0,5.0,0.0,148.4,62.1903529496336,0.4391921639442444,0.07868192143608146,0.4391921639442444,0.07868192143608146,0.27869767546653745,0.052331613557708816,0.09204906490631401,0.03275680466726014,0.01163807068951428,0.005326499730521274,0.08041099421679973,0.029913690591547457,0.20256210565567018,0.03929092459016511,57.14962654113769,5.140461274118262
-2.9387755393981934,10.0,14.0,4.0,0.0,191.6,203.93145907387608,0.3451341316103935,0.08693068236872467,0.3451341316103935,0.08693068236872467,0.22895263582468034,0.06021112264281119,0.06764235473237931,0.02778013483128063,0.010915579227730631,0.008096966775697432,0.056726775504648684,0.024395977740126605,0.15748580768704415,0.04073857245652501,59.72892532348633,5.2979737468970605
-2.8775510787963867,10.0,20.0,10.0,0.0,221.2,173.55563949350653,0.31282824128866193,0.07893286908403273,0.31282824128866193,0.07893286908403273,0.1978709727525711,0.06439628523222511,0.05767660666024312,0.02526554616514882,0.009851552767213435,0.0072053963353170694,0.04782505389302969,0.024996108632853363,0.13952453434467316,0.03603377843085275,55.19443969726562,7.814115242197308
-2.81632661819458,10.0,13.0,3.0,0.0,122.0,70.54643860606997,0.4087489753961563,0.05312285322058968,0.4087489753961563,0.05312285322058968,0.27790324538946154,0.04299220517255842,0.10161870690062642,0.040213253880585824,0.022001169715076686,0.01699527488346198,0.07961753718554973,0.02446454011812562,0.18313371241092682,0.024306414753277928,56.802388763427736,2.7564414281507683
-2.7551021575927734,10.0,12.0,2.0,0.0,166.2,98.11911128827043,0.3456544607877731,0.045339412992182755,0.3456544607877731,0.045339412992182755,0.22526160776615142,0.030319267243654333,0.0647829374531284,0.01887659065342676,0.012454978586174548,0.010091195506842447,0.05232795886695385,0.01503304489930648,0.1536264270544052,0.016998779776998395,57.41118125915527,4.610361644072395
-2.6938774585723877,10.0,20.0,10.0,0.0,178.6,93.40899314305877,0.395430414378643,0.10230257170289177,0.395430414378643,0.10230257170289177,0.2531248413026333,0.07486655356349707,0.08753986256197095,0.03973976510588463,0.015491766668856145,0.01128621284333687,0.07204809589311481,0.03401286773936144,0.1798645317554474,0.048819509326285676,60.997561645507815,4.184611596516989
-2.632652997970581,10.0,12.0,2.0,0.0,153.4,108.36161682071749,0.3167669802904129,0.08734068171712063,0.3167669802904129,0.08734068171712063,0.20420544296503068,0.06679249355643958,0.06751745489891618,0.03617578612628336,0.02033022006507963,0.014032322272900365,0.04718723483383656,0.025657914194015728,0.14210081994533538,0.03501660778898132,58.26731872558594,3.661006915303376
-2.5714285373687744,10.0,12.0,2.0,0.0,209.5,89.13388805611477,0.3286250129342079,0.10080018702512766,0.3286250129342079,0.10080018702512766,0.20609289929270744,0.07246730314336243,0.056869829236529765,0.03129290124988255,0.008367160125635565,0.006795613885999836,0.0485026691108942,0.029051140870742183,0.15018530040979386,0.04865920421285078,58.98520011901856,4.820962868899967
-2.5102040767669678,10.0,16.0,6.0,0.0,211.7,146.68609341038433,0.34776114821434023,0.08219408941117202,0.34776114821434023,0.08219408941117202,0.22855127304792405,0.060073744163823745,0.07417263992829248,0.03183239413972383,0.016893921501468866,0.013816206160713761,0.05727871842682362,0.021677889744976905,0.15386436581611634,0.034774345127921234,55.469519424438474,4.40108610692275
-2.448979616165161,10.0,14.0,4.0,0.0,177.0,95.51439682058407,0.3496925577521324,0.11150568485995008,0.3496925577521324,0.11150568485995008,0.22244478911161422,0.08275221582556286,0.0699602768290788,0.03925160178629776,0.012927877763286234,0.008209679138091853,0.05703239906579256,0.03265767654393266,0.15559071227908133,0.05018154202951231,58.00445404052734,4.049064611594027
-2.3877551555633545,10.0,13.0,3.0,0.0,177.3,95.84158805028221,0.3549816057085991,0.10127762399551525,0.3549816057085991,0.10127762399551525,0.23002725318074227,0.08377436600398099,0.0777469843160361,0.04495664031090429,0.01676793289370835,0.011303970011978944,0.060979051422327755,0.03807086910658037,0.1558619387447834,0.04773613216683874,59.35742378234863,5.635526499961591
